"CATEGORY_NAME","GENDER","AGE_GROUP","CATEGORY_ID"
"Shirts","Male","Kids",10001
"Innerwear","Male","Kids",10002
"Activewear","Male","Kids",10003
"Shoes","Male","Kids",10004
"Jackets","Male","Kids",10005
"Accessories","Male","Kids",10006
"Thermals","Male","Kids",10007
"Pants","Male","Kids",10008
"Jeans","Male","Kids",10009
"Shirts","Female","Kids",10011
"Innerwear","Female","Kids",10012
"Activewear","Female","Kids",10013
"Shoes","Female","Kids",10014
"Jackets","Female","Kids",10015
"Accessories","Female","Kids",10016
"Thermals","Female","Kids",10017
"Pants","Female","Kids",10018
"Jeans","Female","Kids",10019
"Dress","Female","Kids",10020
"Shirts","Male","Pre-Teens",10021
"Innerwear","Male","Pre-Teens",10022
"Activewear","Male","Pre-Teens",10023
"Shoes","Male","Pre-Teens",10024
"Jackets","Male","Pre-Teens",10025
"Accessories","Male","Pre-Teens",10026
"Thermals","Male","Pre-Teens",10027
"Pants","Male","Pre-Teens",10028
"Jeans","Male","Pre-Teens",10029
"Shirts","Female","Pre-Teens",10031
"Innerwear","Female","Pre-Teens",10032
"Activewear","Female","Pre-Teens",10033
"Shoes","Female","Pre-Teens",10034
"Jackets","Female","Pre-Teens",10035
"Accessories","Female","Pre-Teens",10036
"Thermals","Female","Pre-Teens",10037
"Pants","Female","Pre-Teens",10038
"Jeans","Female","Pre-Teens",10039
"Dress","Female","Pre-Teens",10040
"Shirts","Male","Young Adults",10041
"Innerwear","Male","Young Adults",10042
"Activewear","Male","Young Adults",10043
"Shoes","Male","Young Adults",10044
"Jackets","Male","Young Adults",10045
"Accessories","Male","Young Adults",10046
"Thermals","Male","Young Adults",10047
"Pants","Male","Young Adults",10048
"Jeans","Male","Young Adults",10049
"Shirts","Female","Young Adults",10051
"Innerwear","Female","Young Adults",10052
"Activewear","Female","Young Adults",10053
"Shoes","Female","Young Adults",10054
"Jackets","Female","Young Adults",10055
"Accessories","Female","Young Adults",10056
"Thermals","Female","Young Adults",10057
"Pants","Female","Young Adults",10058
"Jeans","Female","Young Adults",10059
"Dress","Female","Young Adults",10060
"Shirts","Male","Adults",10061
"Innerwear","Male","Adults",10062
"Activewear","Male","Adults",10063
"Shoes","Male","Adults",10064
"Jackets","Male","Adults",10065
"Accessories","Male","Adults",10066
"Thermals","Male","Adults",10067
"Pants","Male","Adults",10068
"Jeans","Male","Adults",10069
"Shirts","Female","Adults",10071
"Innerwear","Female","Adults",10072
"Activewear","Female","Adults",10073
"Shoes","Female","Adults",10074
"Jackets","Female","Adults",10075
"Accessories","Female","Adults",10076
"Thermals","Female","Adults",10077
"Pants","Female","Adults",10078
"Jeans","Female","Adults",10079
"Dress","Female","Adults",10080
