"SHIPPING_ID","POST_CODE","CARRIER"
"SH10016","SE28 0BU","UPS"
"SH10017","CT15 4EF","Evri"
"SH10018","EN1 4BN","DHL"
"SH10019","LL12 0DJ","UPS"
"SH10020","GU47 8JU","Evri"
"SH10021","PR3 5HE","UPS"
"SH10022","CH43 0SW","DHL"
"SH10023","N6 6DX","DHL"
"SH10024","YO31 8LJ","Royal Mail"
"SH10025","DL14 0HT","DHL"
"SH10026","KT13 8LG","FedEx"
"SH10027","NG23 7JP","UPS"
"SH10028","E17 9HL","DHL"
"SH10029","SK12 1SU","Evri"
"SH10030","FK9 5JL","Royal Mail"
"SH10031","NR18 9GE","Royal Mail"
"SH10032","NE10 0UZ","UPS"
"SH10033","SW8 3TF","UPS"
"SH10034","TF11 8HB","Evri"
"SH10035","NW3 5ED","DHL"
"SH10036","CT17 0PN","DHL"
"SH10037","BS10 6NB","UPS"
"SH10038","BS22 9TJ","FedEx"
"SH10039","M27 4DQ","UPS"
"SH10040","GL20 7AY","Royal Mail"
"SH10041","TN6 1DL","DHL"
"SH10042","GY3 5AS","Evri"
"SH10043","NR23 1QD","FedEx"
"SH10044","SS13 3BT","DHL"
"SH10045","SA14 8DL","UPS"
"SH10046","CV12 9LT","Royal Mail"
"SH10047","NW3 7SL","Royal Mail"
"SH10048","SO17 3SF","DHL"
"SH10049","WA5 1BB","FedEx"
"SH10050","EC1V 7JD","DHL"
"SH10051","RH19 3GW","UPS"
"SH10052","SR4 8DH","Evri"
"SH10053","DE11 7ET","DHL"
"SH10054","L20 5EA","Evri"
"SH10055","KT22 7XQ","Evri"
"SH10056","SE2 0DX","FedEx"
"SH10057","YO7 3PR","Evri"
"SH10058","N18 1XE","DHL"
"SH10059","WA13 9AH","UPS"
"SH10060","B24 9TB","UPS"
"SH10061","LS17 8QE","FedEx"
"SH10062","TQ9 7UA","FedEx"
"SH10063","EH30 9LW","Royal Mail"
"SH10064","B4 6JX","DHL"
"SH10065","BT19 1DQ","Evri"
"SH10066","BT53 7DJ","Evri"
"SH10067","KY3 0DZ","DHL"
"SH10068","UB6 8NQ","UPS"
"SH10069","TN31 7HN","Royal Mail"
"SH10070","AB23 8WY","Royal Mail"
"SH10071","CO9 2BA","Royal Mail"
"SH10072","CM13 2JA","Royal Mail"
"SH10073","SK6 4NJ","DHL"
"SH10074","RG7 6LA","Royal Mail"
"SH10075","NG2 7YJ","Evri"
"SH10076","RH15 9SS","Evri"
"SH10077","CT19 5JR","FedEx"
"SH10078","N11 1LA","Royal Mail"
"SH10079","IM2 2BH","UPS"
"SH10080","B77 5TG","DHL"
"SH10081","BS35 1HP","Evri"
"SH10082","RM11 2PL","Evri"
"SH10083","B28 8AD","FedEx"
"SH10084","SS1 3AQ","UPS"
"SH10085","DE22 5JU","UPS"
"SH10086","EX16 6PH","Royal Mail"
"SH10087","DN7 5BF","DHL"
"SH10088","PE7 1SN","DHL"
"SH10089","G12 9XU","FedEx"
"SH10090","YO25 5PB","Evri"
"SH10091","GU1 1QE","DHL"
"SH10092","ST6 2BG","Royal Mail"
"SH10093","SG17 5AS","Royal Mail"
"SH10094","SO32 2GZ","Evri"
"SH10095","PO35 5PJ","DHL"
"SH10096","L26 7YX","Evri"
"SH10097","SA32 7AY","FedEx"
"SH10098","BT70 1ET","Evri"
"SH10099","SM3 9PR","UPS"
"SH10100","SY6 6DE","Evri"
"SH10101","CA14 4JW","Royal Mail"
"SH10102","NG19 8QU","FedEx"
"SH10103","IP12 4LS","DHL"
"SH10104","NR26 8HT","Evri"
"SH10105","B21 9PB","Evri"
