"SHIPPING_ID","POST_CODE","CARRIER"
"SH10001","DL12 8DE","DHL"
"SH10002","SO51 7TN","FedEx"
"SH10003","ME16 8AP","UPS"
"SH10004","AB16 7UP","Evri"
"SH10005","LS1 3AZ","UPS"
"SH10006","NW1 3SH","FedEx"
"SH10007","CM1 4AS","FedEx"
"SH10008","SY10 9DT","Royal Mail"
"SH10009","AB55 5ES","DHL"
"SH10010","IP21 5NS","Royal Mail"
"SH10011","SK16 4QR","DHL"
"SH10012","BT13 3EF","Evri"
"SH10013","BL9 8NL","Royal Mail"
"SH10014","SK13 1PR","DHL"
"SH10015","NR18 0HL","DHL"
"SH10016","DE23 6GJ","FedEx"
"SH10017","S40 2EX","Evri"
"SH10018","UB4 0XE","UPS"
"SH10019","SA2 0XQ","Evri"
"SH10020","CO15 4LP","FedEx"
"SH10021","BD4 8AR","DHL"
"SH10022","CA11 0AN","DHL"
"SH10023","AB38 9SR","DHL"
"SH10024","KW13 6YT","Evri"
"SH10025","GL2 8LA","Royal Mail"
"SH10026","PE34 4BE","DHL"
"SH10027","NR5 0JS","Evri"
"SH10028","W3 0EG","Evri"
"SH10029","PE6 7FP","DHL"
"SH10030","NG18 2AN","Evri"
"SH10031","BR7 6JL","Evri"
"SH10032","N16 8TX","Royal Mail"
"SH10033","SE1 5DU","FedEx"
"SH10034","NR30 4EF","Evri"
"SH10035","KY1 4EY","Royal Mail"
"SH10036","NG9 5DB","UPS"
"SH10037","NE61 1RG","UPS"
"SH10038","CW9 7JQ","DHL"
"SH10039","LN8 3DZ","FedEx"
"SH10040","BT71 5FQ","Royal Mail"
"SH10041","G45 9PW","Evri"
"SH10042","N14 6QU","FedEx"
"SH10043","WF10 1LW","FedEx"
"SH10044","BA3 5TT","DHL"
"SH10045","HP12 4NS","DHL"
"SH10046","DH8 6PP","Evri"
"SH10047","SP8 5BX","Evri"
"SH10048","SE18 6ED","Evri"
"SH10049","LS16 9AT","FedEx"
"SH10050","DG11 3DW","DHL"
"SH10051","SM6 7HL","UPS"
"SH10052","LL18 2RD","Evri"
"SH10053","BB3 3BD","DHL"
"SH10054","BS15 9RW","DHL"
"SH10055","RH10 7NX","Evri"
"SH10056","ME16 9BS","FedEx"
"SH10057","KA10 7DA","Royal Mail"
"SH10058","NW10 5JB","UPS"
"SH10059","DA9 9JS","FedEx"
"SH10060","BT56 8AF","DHL"
"SH10061","BT25 1JH","FedEx"
"SH10062","LS12 1SN","UPS"
"SH10063","HA8 7UH","Royal Mail"
"SH10064","RG14 5LA","Royal Mail"
"SH10065","NE8 1QQ","FedEx"
"SH10066","BB5 4LE","UPS"
"SH10067","E13 9FF","DHL"
"SH10068","ME5 0NB","DHL"
"SH10069","NN14 6GZ","Royal Mail"
"SH10070","NG7 2NS","DHL"
"SH10071","DE14 3JA","FedEx"
"SH10072","BD10 9NS","Royal Mail"
"SH10073","RG26 5AH","FedEx"
"SH10074","NR20 4DJ","FedEx"
"SH10075","TS15 9BY","Evri"
"SH10076","LL54 7LF","Evri"
"SH10077","CM8 2RN","UPS"
"SH10078","WF12 8QL","FedEx"
"SH10079","L11 6NB","FedEx"
"SH10080","GU51 1GB","FedEx"
"SH10081","GU3 3AY","UPS"
"SH10082","SE20 7NW","FedEx"
"SH10083","BH17 7FL","FedEx"
"SH10084","LL15 2SF","UPS"
"SH10085","BD5 9JB","UPS"
"SH10086","BT8 8HJ","FedEx"
"SH10087","DH4 7BF","DHL"
"SH10088","PH2 6QY","Evri"
"SH10089","GU47 0RR","Royal Mail"
"SH10090","MK18 4NU","FedEx"
"SH10091","BL9 9AU","Royal Mail"
"SH10092","DE1 3LS","Royal Mail"
"SH10093","TN34 1XU","Royal Mail"
"SH10094","TR14 8QF","DHL"
"SH10095","NR14 6UN","Royal Mail"
"SH10096","BH17 9AT","Royal Mail"
"SH10097","NW2 5BU","DHL"
"SH10098","CV31 1UG","DHL"
"SH10099","W5 1LR","UPS"
"SH10100","TR19 6EG","Evri"
"SH10101","DN22 6QG","DHL"
"SH10102","WS12 3HJ","FedEx"
"SH10103","WA3 5AJ","UPS"
"SH10104","EH27 8BQ","Evri"
"SH10105","PE10 0DY","Evri"
"SH10106","YO7 9DB","Evri"
"SH10107","LA9 5PJ","Evri"
"SH10108","BT54 6LF","Evri"
"SH10109","HR9 7GE","DHL"
"SH10110","B80 7AR","Royal Mail"
"SH10111","KA23 9DG","Evri"
"SH10112","PA2 7QU","UPS"
"SH10113","ML12 6EP","Royal Mail"
"SH10114","SE12 0LF","FedEx"
"SH10115","RG25 3JP","Evri"
"SH10116","BL3 3LG","Royal Mail"
"SH10117","TW13 6QU","UPS"
"SH10118","SE12 0EG","FedEx"
"SH10119","EH52 6SS","DHL"
"SH10120","GU52 7SP","Evri"
"SH10121","KY7 6RX","DHL"
"SH10122","CH48 3JD","FedEx"
"SH10123","RH12 3RF","Royal Mail"
"SH10124","B69 4LE","FedEx"
"SH10125","LS28 7LG","FedEx"
"SH10126","CW6 9YA","DHL"
"SH10127","DN14 6DR","UPS"
"SH10128","BH11 9BX","FedEx"
"SH10129","BR7 6QN","UPS"
"SH10130","LS1 9GE","Royal Mail"
"SH10131","FY8 2BQ","UPS"
"SH10132","WV4 4JR","Royal Mail"
"SH10133","PO18 8FS","DHL"
"SH10134","SA14 6SQ","Royal Mail"
"SH10135","BT81 7LF","DHL"
"SH10136","EH42 1RY","Evri"
"SH10137","SN7 8LR","Royal Mail"
"SH10138","FK21 8SW","DHL"
"SH10139","HR4 0RT","DHL"
"SH10140","ME18 6HE","FedEx"
"SH10141","ST5 0RN","FedEx"
"SH10142","PE32 2DA","DHL"
"SH10143","SE15 5UF","FedEx"
"SH10144","SN14 8RF","DHL"
"SH10145","BS37 5JF","Royal Mail"
"SH10146","EC1V 0EU","UPS"
"SH10147","GU10 5AJ","UPS"
"SH10148","NE3 5PY","Evri"
"SH10149","TF10 8AG","UPS"
"SH10150","CH43 2HH","DHL"
"SH10151","NE12 9DJ","Royal Mail"
"SH10152","MK6 2DP","FedEx"
"SH10153","TN2 4AU","UPS"
"SH10154","TS8 9FB","Evri"
"SH10155","LS10 3PE","Evri"
