"PROMOTION_ID","PROMOTION_VALUE","PROMOTION_START_DATE","PROMOTION_END_DATE","MINIMUM_PURCHASE_AMOUNT","PRODUCT_ID"
"PR1051",0.05,"2023-09-05","2023-09-08",23,"SKU13000"
"PR1052",0.15,"2023-09-05","2023-09-12",42,"SKU11379"
"PR1053",0.2,"2023-09-09","2023-09-11",31,"SKU11782"
"PR1054",0.3,"2023-09-15","2023-09-16",41,"SKU14013"
"PR1055",0.25,"2023-09-16","2023-09-19",47,"SKU11342"
"PR1056",0.15,"2023-09-26","2023-10-04",41,"SKU12228"
"PR1057",0.15,"2023-09-29","2023-10-09",45,"SKU13589"
"PR1058",0.25,"2023-11-01","2023-11-04",31,"SKU11176"
"PR1059",0.15,"2023-11-03","2023-11-07",47,"SKU13783"
"PR1060",0.15,"2023-11-14","2023-11-23",28,"SKU11275"
"PR1061",0.3,"2023-11-20","2023-11-28",21,"SKU11978"
"PR1062",0.1,"2023-11-20","2023-11-23",27,"SKU13115"
"PR1063",0.1,"2023-11-28","2023-12-10",23,"SKU14144"
"PR1064",0.15,"2023-12-01","2023-12-03",43,"SKU12377"
"PR1065",0.3,"2023-12-10","2023-12-17",49,"SKU11628"
"PR1066",0.05,"2023-12-10","2023-12-18",33,"SKU10644"
"PR1067",0.25,"2023-12-10","2023-12-11",22,"SKU14849"
"PR1068",0.1,"2023-12-13","2023-12-17",39,"SKU14841"
"PR1069",0.2,"2023-12-22","2023-12-28",29,"SKU14719"
"PR1070",0.3,"2023-12-29","2024-01-04",40,"SKU11002"
