"PROMOTION_ID","PROMOTION_VALUE","PROMOTION_START_DATE","PROMOTION_END_DATE","MINIMUM_PURCHASE_AMOUNT","PRODUCT_ID"
"PR1001",0.15,2023-01-06,2023-01-21,24,"SKU14702"
"PR1002",0.25,2023-01-22,2023-02-06,36,"SKU11717"
"PR1003",0.25,2023-02-02,2023-02-17,29,"SKU12137"
"PR1004",0.05,2023-02-20,2023-03-03,50,"SKU12437"
"PR1005",0.2,2023-03-04,2023-03-10,21,"SKU10704"
"PR1006",0.25,2023-03-17,2023-03-27,21,"SKU12801"
"PR1007",0.25,2023-04-03,2023-04-14,30,"SKU12996"
"PR1008",0.15,2023-04-22,2023-04-28,47,"SKU13555"
"PR1009",0.15,2023-04-30,2023-05-06,43,"SKU13543"
"PR1010",0.2,2023-05-04,2023-05-12,48,"SKU14732"
"PR1011",0.1,2023-05-25,2023-05-29,21,"SKU10340"
"PR1012",0.25,2023-05-29,2023-06-08,33,"SKU13885"
"PR1013",0.05,2023-06-24,2023-07-08,35,"SKU12695"
"PR1014",0.05,2023-06-28,2023-07-08,50,"SKU10674"
"PR1015",0.1,2023-07-06,2023-07-18,43,"SKU14801"
"PR1016",0.05,2023-07-08,2023-07-15,22,"SKU11131"
"PR1017",0.15,2023-07-09,2023-07-10,42,"SKU10997"
"PR1018",0.3,2023-07-23,2023-08-01,49,"SKU13601"
"PR1019",0.25,2023-07-30,2023-08-09,34,"SKU12447"
"PR1020",0.1,2023-08-05,2023-08-09,24,"SKU13726"
"PR1021",0.05,2023-08-23,2023-08-25,41,"SKU10403"
"PR1022",0.3,2023-08-27,2023-08-30,34,"SKU12229"
"PR1023",0.2,2023-09-07,2023-09-18,42,"SKU10920"
"PR1024",0.15,2023-10-19,2023-10-28,22,"SKU11908"
"PR1025",0.2,2023-10-28,2023-10-31,21,"SKU13388"
"PR1026",0.05,2023-11-02,2023-11-09,23,"SKU11978"
"PR1027",0.2,2023-11-03,2023-11-09,24,"SKU14756"
"PR1028",0.1,2023-11-08,2023-11-15,28,"SKU11202"
"PR1029",0.1,2023-11-14,2023-11-15,23,"SKU12974"
"PR1030",0.25,2023-12-01,2023-12-09,24,"SKU14338"
"PR1031",0.25,2023-12-04,2023-12-12,27,"SKU14450"
"PR1032",0.1,2023-12-07,2023-12-17,22,"SKU10715"
"PR1033",0.05,2023-12-08,2023-12-22,37,"SKU10488"
"PR1034",0.3,2023-12-17,2023-12-21,31,"SKU11077"
"PR1035",0.15,2023-12-18,2023-12-30,28,"SKU11081"
"PR1036",0.15,2023-12-28,2024-01-07,31,"SKU10219"
"PR1037",0.05,2023-12-28,2023-12-29,50,"SKU11813"
"PR1038",0.1,2024-01-05,2024-01-11,50,"SKU14423"
"PR1039",0.3,2024-01-12,2024-01-25,27,"SKU10030"
"PR1040",0.15,2024-01-23,2024-02-07,39,"SKU11425"
"PR1041",0.25,2024-02-04,2024-02-19,25,"SKU13999"
"PR1042",0.3,2024-02-11,2024-02-20,45,"SKU11137"
"PR1043",0.25,2024-02-12,2024-02-24,20,"SKU10502"
"PR1044",0.05,2024-02-13,2024-02-15,46,"SKU13906"
"PR1045",0.3,2024-02-16,2024-03-02,43,"SKU10426"
"PR1046",0.2,2024-02-28,2024-03-03,47,"SKU13392"
"PR1047",0.25,2024-02-28,2024-03-11,28,"SKU14795"
"PR1048",0.05,2024-03-01,2024-03-10,30,"SKU10665"
"PR1049",0.25,2024-03-04,2024-03-10,41,"SKU12994"
"PR1050",0.15,2024-03-07,2024-03-18,27,"SKU11201"
