"SUPPLIER_NAME","SUPPLIER_EMAIL","SUPPLIER_PHONE","POST_CODE","SUPPLIER_ID"
"Vogue Apparel Co","vogueapparelco@hotmail.com","9005853844","BD5 9BS","SP10001"
"Elite Fashions Inc","elitefashionsinc@hotmail.com","7235230655","MK45 3DJ","SP10002"
"Chic Designs Ltd","chicdesignsltd@hotmail.com","6764561323","WC2H 8PA","SP10003"
"Trendy Textiles Group","trendytextilesgroup@yahoo.com","9948427989","WR4 0AF","SP10004"
"Fashion Forward Creations LLC","fashionforwardcreationsllc@hotmail.com","6901352191","BT79 0JY","SP10005"
"StyleMakers International","stylemakersinternational@yahoo.com","7376774213","BT36 9FG","SP10006"
"Elegance Garments Ltd.","elegancegarmentsltd.@yahoo.com","5896594222","BA22 7LT","SP10007"
"Modern Threads Co","modernthreadsco@yahoo.com","6347278183","ME16 0AF","SP10008"
"Urban Couture Enterprises","urbancoutureenterprises@hotmail.com","3602437635","SK11 8RL","SP10009"
"Glamour Wear Inc","glamourwearinc@gmail.com","2324022826","DE1 3QH","SP10010"
"Fashionista Industries Ltd","fashionistaindustriesltd@outlook.com","9667218092","BB5 0FT","SP10011"
"Couture Creations LLC","couturecreationsllc@yahoo.com","9120691405","M32 0EE","SP10012"
"Trendsetter Textiles Inc.","trendsettertextilesinc.@yahoo.com","7216347505","NN3 7EA","SP10013"
"Classic Styles Group","classicstylesgroup@gmail.com","8159206758","YO18 7EB","SP10014"
"Designer Denim Co.","designerdenimco.@yahoo.com","1221523161","CO6 1YP","SP10015"
