"SUPPLIER_NAME","SUPPLIER_EMAIL","SUPPLIER_PHONE","POST_CODE","SUPPLIER_ID"
"Vogue Apparel Co","vogueapparelco@yahoo.com","6848924133","NP4 7JJ","SP10001"
"Elite Fashions Inc","elitefashionsinc@hotmail.com","7921658415","N17 6NX","SP10002"
"Chic Designs Ltd","chicdesignsltd@gmail.com","6618421159","WA10 3AL","SP10003"
"Trendy Textiles Group","trendytextilesgroup@yahoo.com","5754891347","EH14 1LT","SP10004"
"Fashion Forward Creations LLC","fashionforwardcreationsllc@outlook.com","1453812400","WA10 1NG","SP10005"
"StyleMakers International","stylemakersinternational@yahoo.com","1479242841","M46 0LU","SP10006"
"Elegance Garments Ltd.","elegancegarmentsltd.@hotmail.com","9221593030","PA1 2JE","SP10007"
"Modern Threads Co","modernthreadsco@hotmail.com","5636175311","NG13 0EL","SP10008"
"Urban Couture Enterprises","urbancoutureenterprises@hotmail.com","1081952082","KT16 0PA","SP10009"
"Glamour Wear Inc","glamourwearinc@hotmail.com","6963444360","SA19 9PG","SP10010"
"Fashionista Industries Ltd","fashionistaindustriesltd@hotmail.com","2423970844","LS26 8UU","SP10011"
"Couture Creations LLC","couturecreationsllc@outlook.com","1135690136","CT2 7WX","SP10012"
"Trendsetter Textiles Inc.","trendsettertextilesinc.@hotmail.com","4866576752","WF13 3PN","SP10013"
"Classic Styles Group","classicstylesgroup@gmail.com","4953779552","AB42 0PR","SP10014"
"Designer Denim Co.","designerdenimco.@gmail.com","5891453810","L6 0DB","SP10015"
"Boutique Brands Ltd","boutiquebrandsltd@gmail.com","3848404854","LE3 2XN","SP10016"
"Luxury Labels International","luxurylabelsinternational@outlook.com","4442620641","SA19 8RF","SP10017"
"Chic Couture Creations","chiccouturecreations@yahoo.com","5147496101","NG18 1BP","SP10018"
"Trendy Tailors Inc","trendytailorsinc@gmail.com","5497769242","M11 1HS","SP10019"
"Fancy Fabrics Group","fancyfabricsgroup@hotmail.com","9108703224","BD21 2QH","SP10020"
