"TRANSACTION_ID","PAYMENT_METHOD","TRANSACTION_STATUS"
"TR10001","Credit card","Successful"
"TR10002","Credit card","Successful"
"TR10003","Debit card","Successful"
"TR10004","Credit card","Successful"
"TR10005","Credit card","Successful"
"TR10006","Credit card","Successful"
"TR10007","Paypal","Successful"
"TR10008","Credit card","Successful"
"TR10009","Paypal","Successful"
"TR10010","Credit card","Successful"
"TR10011","Debit card","Successful"
"TR10012","Debit card","Successful"
"TR10013","Credit card","Successful"
"TR10014","Credit card","Successful"
"TR10015","Debit card","Successful"
"TR10016","Credit card","Successful"
"TR10017","Credit card","Successful"
"TR10018","Credit card","Successful"
"TR10019","Credit card","Successful"
"TR10020","Credit card","Successful"
"TR10021","Debit card","Successful"
"TR10022","Debit card","Successful"
"TR10023","Paypal","Successful"
"TR10024","Credit card","Successful"
"TR10025","Credit card","Successful"
"TR10026","Debit card","Successful"
"TR10027","Credit card","Successful"
"TR10028","Debit card","Successful"
"TR10029","Paypal","Successful"
"TR10030","Credit card","Successful"
"TR10031","Credit card","Successful"
"TR10032","Credit card","Declined"
"TR10033","Gift Card","Successful"
"TR10034","Paypal","Successful"
"TR10035","Credit card","Successful"
"TR10036","Credit card","Successful"
"TR10037","Debit card","Successful"
"TR10038","Paypal","Successful"
"TR10039","Debit card","Successful"
"TR10040","Credit card","Successful"
"TR10041","Paypal","Successful"
"TR10042","Credit card","Successful"
"TR10043","Credit card","Successful"
"TR10044","Debit card","Successful"
"TR10045","Gift Card","Successful"
"TR10046","Debit card","Successful"
"TR10047","Credit card","Successful"
"TR10048","Debit card","Successful"
"TR10049","Paypal","Successful"
"TR10050","Credit card","Successful"
"TR10051","Debit card","Successful"
"TR10052","Paypal","Successful"
"TR10053","Paypal","Successful"
"TR10054","Debit card","Successful"
"TR10055","Debit card","Successful"
"TR10056","Debit card","Successful"
"TR10057","Debit card","Successful"
"TR10058","Credit card","Successful"
"TR10059","Credit card","Successful"
"TR10060","Credit card","Successful"
"TR10061","Debit card","Declined"
"TR10062","Credit card","Successful"
"TR10063","Paypal","Declined"
"TR10064","Credit card","Successful"
"TR10065","Debit card","Successful"
"TR10066","Debit card","Declined"
