"ORDER_ID","ORDER_STATUS","ORDER_DATE","PRODUCT_ID","ORDER_QUANTITY"
"OD10001","Delivered",2023-05-31,"SKU10417",2
"OD10001","Delivered",2023-05-31,"SKU13193",2
"OD10001","Delivered",2023-05-31,"SKU16636",3
"OD10001","Delivered",2023-05-31,"SKU25152",4
"OD10001","Delivered",2023-05-31,"SKU27412",3
"OD10001","Delivered",2023-05-31,"SKU20380",3
"OD10001","Delivered",2023-05-31,"SKU17249",4
"OD10001","Delivered",2023-05-31,"SKU18621",5
"OD10002","Delivered",2023-02-21,"SKU20614",2
"OD10002","Delivered",2023-02-21,"SKU13386",4
"OD10002","Delivered",2023-02-21,"SKU10997",2
"OD10003","Delivered",2023-12-16,"SKU11634",2
"OD10003","Delivered",2023-12-16,"SKU22923",4
"OD10004","Delivered",2023-01-15,"SKU26106",2
"OD10004","Delivered",2023-01-15,"SKU16570",2
"OD10004","Delivered",2023-01-15,"SKU20908",1
"OD10004","Delivered",2023-01-15,"SKU24789",3
"OD10004","Delivered",2023-01-15,"SKU26630",2
"OD10004","Delivered",2023-01-15,"SKU26383",4
"OD10004","Delivered",2023-01-15,"SKU16784",4
"OD10004","Delivered",2023-01-15,"SKU17475",3
"OD10004","Delivered",2023-01-15,"SKU29279",3
"OD10004","Delivered",2023-01-15,"SKU29608",3
"OD10005","In transit",2023-11-17,"SKU22061",5
"OD10005","In transit",2023-11-17,"SKU10851",2
"OD10005","In transit",2023-11-17,"SKU24955",3
"OD10005","In transit",2023-11-17,"SKU18767",4
"OD10006","In transit",2023-08-17,"SKU19971",3
"OD10006","In transit",2023-08-17,"SKU11500",2
"OD10006","In transit",2023-08-17,"SKU11026",3
"OD10006","In transit",2023-08-17,"SKU12171",4
"OD10006","In transit",2023-08-17,"SKU20486",2
"OD10007","Delivered",2023-04-25,"SKU26889",3
"OD10007","Delivered",2023-04-25,"SKU10527",4
"OD10007","Delivered",2023-04-25,"SKU14268",3
"OD10007","Delivered",2023-04-25,"SKU25120",1
"OD10008","In transit",2023-05-24,"SKU10733",3
