"COLOR","SIZE","GENDER","AGE_GROUP","PRODUCT_NAME","CATEGORY","PRODUCT_ID","PRODUCT_PURCHASING_PRICE","PRODUCT_SELLING_PRICE","SUPPLIER_ID"
"black","XS","Male","Kids","T-shirt","Shirts","SKU10001",91.16,116.19,"SP10020"
"white","XS","Male","Kids","T-shirt","Shirts","SKU10002",75.42,86.84,"SP10008"
"blue","XS","Male","Kids","T-shirt","Shirts","SKU10003",71.24,91.9,"SP10014"
"gray","XS","Male","Kids","T-shirt","Shirts","SKU10004",99.54,119.91,"SP10002"
"navy","XS","Male","Kids","T-shirt","Shirts","SKU10005",72.46,88.11,"SP10019"
"red","XS","Male","Kids","T-shirt","Shirts","SKU10006",76.68,96.2,"SP10016"
"green","XS","Male","Kids","T-shirt","Shirts","SKU10007",63.53,75.74,"SP10001"
"brown","XS","Male","Kids","T-shirt","Shirts","SKU10008",67.53,78.5,"SP10013"
"beige","XS","Male","Kids","T-shirt","Shirts","SKU10009",43.13,52.23,"SP10018"
"pink","XS","Male","Kids","T-shirt","Shirts","SKU10010",31.77,39.12,"SP10002"
"purple","XS","Male","Kids","T-shirt","Shirts","SKU10011",97.04,117.21,"SP10015"
"yellow","XS","Male","Kids","T-shirt","Shirts","SKU10012",92.18,111.71,"SP10001"
"orange","XS","Male","Kids","T-shirt","Shirts","SKU10013",75.26,84.01,"SP10020"
"burgundy","XS","Male","Kids","T-shirt","Shirts","SKU10014",83.64,98.2,"SP10003"
"teal","XS","Male","Kids","T-shirt","Shirts","SKU10015",21.97,25.1,"SP10003"
"black","S","Male","Kids","T-shirt","Shirts","SKU10016",58.22,73.64,"SP10001"
"white","S","Male","Kids","T-shirt","Shirts","SKU10017",80.68,103.08,"SP10005"
"blue","S","Male","Kids","T-shirt","Shirts","SKU10018",37.31,48.39,"SP10019"
"gray","S","Male","Kids","T-shirt","Shirts","SKU10019",45.45,54.24,"SP10019"
"navy","S","Male","Kids","T-shirt","Shirts","SKU10020",38.53,49.27,"SP10003"
"red","S","Male","Kids","T-shirt","Shirts","SKU10021",31.42,36.97,"SP10009"
"green","S","Male","Kids","T-shirt","Shirts","SKU10022",53.16,61.81,"SP10002"
"brown","S","Male","Kids","T-shirt","Shirts","SKU10023",53.1,66.36,"SP10014"
"beige","S","Male","Kids","T-shirt","Shirts","SKU10024",49.51,59.09,"SP10009"
"pink","S","Male","Kids","T-shirt","Shirts","SKU10025",32.2,41.17,"SP10004"
"purple","S","Male","Kids","T-shirt","Shirts","SKU10026",31.1,36.74,"SP10007"
"yellow","S","Male","Kids","T-shirt","Shirts","SKU10027",38.64,44.09,"SP10004"
"orange","S","Male","Kids","T-shirt","Shirts","SKU10028",57.28,66.31,"SP10009"
"burgundy","S","Male","Kids","T-shirt","Shirts","SKU10029",41.28,49.74,"SP10009"
"teal","S","Male","Kids","T-shirt","Shirts","SKU10030",88.63,112.06,"SP10007"
"black","M","Male","Kids","T-shirt","Shirts","SKU10031",23.67,27.34,"SP10019"
"white","M","Male","Kids","T-shirt","Shirts","SKU10032",55.38,65.48,"SP10008"
"blue","M","Male","Kids","T-shirt","Shirts","SKU10033",83.91,102.51,"SP10010"
"gray","M","Male","Kids","T-shirt","Shirts","SKU10034",29.75,37.3,"SP10016"
"navy","M","Male","Kids","T-shirt","Shirts","SKU10035",64.88,83.49,"SP10006"
"red","M","Male","Kids","T-shirt","Shirts","SKU10036",36.52,40.17,"SP10005"
"green","M","Male","Kids","T-shirt","Shirts","SKU10037",30.2,38.6,"SP10011"
"brown","M","Male","Kids","T-shirt","Shirts","SKU10038",80.26,98.08,"SP10005"
"beige","M","Male","Kids","T-shirt","Shirts","SKU10039",91.6,111.78,"SP10011"
